Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,61445,-,-,-,31.33,-106.86,-6,1210,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,13,0,252,236,-3.8,0.33,1.5,55.94,4.2,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,13,30,180,555,-3.8,0.33,1.8,54.78,4.5,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,14,0,200,483,-3.4,0.33,2.1,55.27,4.8,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,14,30,189,470,-3.4,0.33,3,55.27,4.8,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,15,0,169,413,-3.5,0.33,3.8,55.05,4.8,877,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,15,30,128,605,-3.5,0.33,4.1,56.28,4.5,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,16,0,153,160,-3.9,0.33,4.3,55.21,4.3,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,16,30,90,66,-3.9,0.33,4,57.99,3.6,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,17,0,18,51,-4.3,0.33,3.8,59.1,2.9,879,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,17,30,9,0,-4.3,0.33,3.8,59.1,2.9,879,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,18,0,14,177,-4.7,0.33,2,70.29,0.1,879,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,18,30,0,0,-4.7,0.33,2,73.5,-0.5,880,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
